38,cy_3ways_xo,CS 1.6,1,Climb,NULL,NULL,100,Released,2010-12-14,https://cosy-climbing.net/maps.php/1475/cy_3ways_xo/,Extreme route from kz_xj_3ways only
39,kzsca_colorblock,CS 1.6,1,Climb,NULL,NULL,100,Released,2010-12-14,https://cosy-climbing.net/maps.php/1473/kzsca_colorblock/,NULL
40,kz_kzsca_desk,CS 1.6,1,Climb,NULL,NULL,100,Released,2011-04-01,http://xtreme-jumps.eu/download.php?view.795,NULL
41,kzsca_highblocks,CS 1.6,1,Climb,NULL,NULL,100,Released,2011-06-29,http://xtreme-jumps.eu/download.php?view.803,NULL
42,kz_kzsca_mountainvillage,CS 1.6,1,Climb,NULL,NULL,100,Released,2012-05-11,http://xtreme-jumps.eu/download.php?view.842,Made in collaboration with soul|ftw
43,kz_kzsca_bastion,CS 1.6,1,Climb,NULL,NULL,100,Released,2012-11-06,http://xtreme-jumps.eu/download.php?view.861,Map of the year on Xtreme-Jumps
44,kz_linejump,Kreedz Climbing,2,Climb,NULL,NULL,100,Released,2012-12-21,http://xtreme-jumps.eu/download.php?view.929,5 courses
45,kz_kzsca_desertedlab,CS 1.6,1,Climb,NULL,NULL,100,Released,2014-03-04,http://xtreme-jumps.eu/download.php?view.930,NULL
46,kz_rockyblocky,CS 1.6,1,Climb,NULL,NULL,99,NULL,NULL,NULL,NULL
47,cy_21,CS 1.6,1,Climb,NULL,NULL,98,NULL,NULL,NULL,NULL
48,cy_crystalcave,CS 1.6,1,Bhop,NULL,NULL,98,NULL,NULL,NULL,NULL
49,kzno_marbleblock,CS 1.6,1,Climb,NULL,NULL,98,NULL,NULL,NULL,NULL
50,cy_bhopdownjb,CS 1.6,1,Climb/Bhop,NULL,NULL,95,NULL,NULL,NULL,NULL
51,cy_skillrun,CS 1.6,1,Climb,NULL,NULL,95,NULL,NULL,NULL,NULL
52,fantasy/fantasy_nontoon,CS 1.6,1,Climb,NULL,NULL,95,NULL,NULL,NULL,NULL
53,kz_mineblock,Kreedz Climbing,2,NULL,Easy/Hard/Extreme-death,NULL,95,NULL,NULL,NULL,mineblock converted to Kreedz Climbing (Currently 9 courses)
54,cy_dirtblock2,CS 1.6,1,Mix,NULL,15+ min (25+ ?),90,NULL,NULL,NULL,"Not balanced, very hard! Probably will make an ez verison."
55,project(with radon),CS 1.6,1,Climb,NULL,NULL,90,NULL,NULL,NULL,NULL
56,kz_slide_journey,Kreedz Climbing,2,Slide,Average/Hard,20+ min ?,90,NULL,NULL,NULL,NULL
57,kz_mansion,CS 1.6,1,Climb,NULL,NULL,85,NULL,NULL,NULL,NULL
58,kzsca_downtown_b02,CS 1.6,1,Climb,NULL,NULL,80,NULL,NULL,NULL,NULL
59,cy_small_rooms,CS 1.6,1,Climb,NULL,NULL,75,NULL,NULL,NULL,NULL
60,kzsca_xtremeblock_v2,CS 1.6,1,Climb,NULL,NULL,50,NULL,NULL,NULL,NULL
61,kz_doubleblock,Kreedz Climbing,2,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL
62,cy_standupbhops,CS 1.6,1,Bhop,NULL,NULL,30,NULL,NULL,NULL,NULL
63,kz_island,CS 1.6,1,Climb,NULL,NULL,30,NULL,NULL,NULL,NULL
64,cy_ultrabhop,CS 1.6,1,Bhop,NULL,NULL,15,NULL,NULL,NULL,NULL
65,cy_football/stadium,CS 1.6,1,Climb,NULL,NULL,10,NULL,NULL,NULL,NULL
66,cy_tombsomething,Kreedz Climbing,2,Mix,NULL,NULL,5,NULL,NULL,NULL,Started 14.07.2015
67,kz_legoblock,CS 1.6,1,Climb,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,cy_gravityblock,CS 1.6,1,Climb,NULL,NULL,NULL,NULL,NULL,NULL,NULL
