44,kz_linejump,2,NULL,NULL,100%,Released,21-12-12,http://xtreme-jumps.eu/download.php?view.929,5 courses
45,kz_kzsca_desertedlab,1,NULL,NULL,100%,Released,04-03-14,http://xtreme-jumps.eu/download.php?view.930,NULL
46,kz_rockyblocky,1,NULL,NULL,99%,NULL,NULL,NULL,NULL
47,cy_21,1,NULL,NULL,98%,NULL,NULL,NULL,NULL
48,cy_crystalcave,1,NULL,NULL,98%,NULL,NULL,NULL,NULL
49,kzno_marbleblock,1,NULL,NULL,98%,NULL,NULL,NULL,NULL
50,cy_bhopdownjb,1,NULL,NULL,95%,NULL,NULL,NULL,NULL
51,cy_skillrun,1,NULL,NULL,95%,NULL,NULL,NULL,NULL
52,fantasy/fantasy_nontoon,1,NULL,NULL,95%,NULL,NULL,NULL,NULL
53,kz_mineblock,2,Easy/Hard/Extreme-death,NULL,95%,NULL,NULL,NULL,mineblock converted to Kreedz Climbing (Currently 9 courses)
54,cy_dirtblock2,1,NULL,15+ min (25+ ?),90%,NULL,NULL,NULL,"Not balanced, very hard! Probably will make an ez verison."
55,project(with radon),1,NULL,NULL,90%,NULL,NULL,NULL,NULL
56,kz_slide_journey,2,Average/Hard,20+ min ?,90%,NULL,NULL,NULL,NULL
57,kz_mansion,1,NULL,NULL,85%,NULL,NULL,NULL,NULL
58,kzsca_downtown_b02,1,NULL,NULL,80%,NULL,NULL,NULL,NULL
59,cy_small_rooms,1,NULL,NULL,75%,NULL,NULL,NULL,NULL
60,kzsca_xtremeblock_v2,1,NULL,NULL,50%,NULL,NULL,NULL,NULL
61,kz_doubleblock,2,NULL,NULL,50%,NULL,NULL,NULL,NULL
62,cy_standupbhops,1,NULL,NULL,30%,NULL,NULL,NULL,NULL
63,kz_island,1,NULL,NULL,30%,NULL,NULL,NULL,NULL
64,cy_ultrabhop,1,NULL,NULL,15%,NULL,NULL,NULL,NULL
65,cy_football/stadium,1,NULL,NULL,10%,NULL,NULL,NULL,NULL
66,cy_tombsomething,2,NULL,NULL,5%,NULL,NULL,NULL,Started 14.07.2015
67,kz_legoblock,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,cy_gravityblock,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
